"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"38",2292744.43707709,843209.638024845,2299710.44804678,1107993.37285101,973887.803545979,4400403.7918876,1587831.55878992,5598025.10342023,2454233.98164538,934913.749221909,2492213.68446,2743757.1468,102258.18651,2597057.82,2340947.2221,1608705.53867,1644506.114,1937574.5028,9837148.963,3255969.26806,3980801.2706,50910.983801,140440.010789
"39",13808481.7915721,6107956.88002998,24568763.7210458,7150084.71360238,19305732.2130982,29315804.3094096,19365849.7545784,36949124.7911055,8460743.78799875,7719772.72497698,10307547.253946,48300531.212782,5859755.5009521,39594761.1898258,11332916.992073,11426725.3453267,50558573.898275,24716071.885476,128395361.58097,50117976.164811,61662461.73881,310082.7163676,1220346.261646
"40",2874721.02892652,2349126.50145359,3748107.46197894,1387074.81522002,2434148.31317908,7215371.29717585,2717775.37412103,7377743.98884049,3670673.02309689,1908727.54860898,3402709.874899,9998820.322529,276900.976591,8154195.631432,6494462.940621,4803196.146522,3919142.250953,4705540.750425,21317918.370025,5626729.158824,8952564.747538,122986.355891,312140.950426
"41",13946429.5034033,11224726.3496115,12058557.6610296,3782651.61124661,3724631.55584309,22246218.016455,4847215.19917732,7091784.47890343,4599105.83150496,2629333.3647783,3414655.231359,19512547.9678,6691.734041,86249.02783,191829.85899,9599107.38827,9288948.700236,2637067.02225,12687294.70904,8437597.3733337,12676131.271875,409174.5109009,961052.088113
"42",24456611.6940298,4732384.29390541,20758636.0755791,6948605.43003487,9841875.80215657,27690672.5631563,10594799.5896251,32426008.1888367,13455327.2558925,6511531.5139242,20662652.62574,20798371.812,787931.327,19180489.58,18514397.288,12907937.998996,12220631.25,13542057.41,53109716.46,14817218.8275,22324697.049,355810.734988,993895.279823
"43",1822356.31811831,443154.546290876,1908174.82519946,830650.230870697,1029241.57192189,3330242.67859709,1159250.07962308,3616038.7778415,1285166.95839022,858796.265056655,1076398.608328,2352779.247757,55894.8997338,2321284.988861,2621628.857382,1505402.697153,1383169.624582,1557851.86768,6947516.034198,2517527.017386,3454610.45202,21940.3107535,83270.3614962
"44",2500343.36914969,719695.990258661,2703125.8277482,1664551.67753004,1938448.36211274,3642828.62324476,1722886.84129953,5740446.98369108,1477181.6954569,653227.858143793,2268283.839048,3648758.5697107,871983.0244868,2833556.8778086,1923930.0523111,930718.6550435,6547301.100069,1495647.9568007,7598748.76997,2127472.1362828,4052437.72469,3214.0511496,154276.5492502
"45",280350.922720985,59238.1862627993,754254.02000445,1948906.04547458,204022.883732537,2004169.76942829,291501.471593045,3513392.21917898,1422890.11698411,1184101.33461646,5379.738574,92602.13725,8331.348948,5066.7224104,5518.4328253,4693.4566279,2617.3515876,3266.3607222,12590.375539,6579.693052,4678.0600895,5123.1582742,6889.0903524
"46",276461.541261048,175765.962722491,266644.102206236,228179.327788468,227741.670712621,664234.791968358,309104.533334879,892585.85665512,294568.349284321,147039.42550062,163797.249096,362186.80583,7740.5174,336711.3654,290730.09468,196352.03258,371268.415,329476.1064,1796863.3742,596818.126371,723349.60915,3690.155784,18605.014629
"47",18249467.7624246,12044911.8726584,17838436.3261548,6567911.85872303,28416000.6121425,29022555.6701496,19901577.2628679,53771340.7179634,8548199.2020357,3995596.27086315,10282774.621239,37541244.984106,6116495.350154,26691764.784366,10860191.474855,9193102.164458,30702730.646325,10620561.393834,87263229.69141,20472174.754527,59315321.578524,92227.325894,1283442.364241
"48",124205378.530556,78340255.1107745,218096838.819863,75743555.915901,112993132.302854,329717117.511302,173913031.440131,273801677.314882,205446106.598509,38159624.622008,110369829.009123,314434263.173083,59158655.8269851,221642030.823141,153407730.021125,118823373.132674,280978896.674336,99295832.6777253,1211729565.16626,226875712.532105,527384996.3697,11232408.2620197,16294311.595436
"49",311166.195493539,186528.849740273,432022.870034036,182786.790549977,365133.989466568,833585.923612613,393804.621742256,963180.430740551,359818.8291277,123551.702799065,245841.505277,573689.286197,15956.5402728,514066.526805,426801.508789,324772.122423,536989.085869,480705.671976,3263156.517007,955145.736507,1314703.523758,8275.5041449,34982.8790148
"50",285458.59940526,29785.4055893391,133173.772894224,45454.0874723808,76366.4485445257,166330.170401748,70110.5197747948,191603.492319943,92078.0317603315,47917.0789968547,55638.931564,227030.531042,6719.992785,213098.65092,198846.864779,137476.8845917,86957.93098,100869.544013,490026.39814,142574.7692347,205812.918889,3313.221025,9997.008001
"51",1742685.84652082,764660.484295427,2846027.65766042,404540.552261379,504332.369965968,2789130.25626086,497843.147886213,1788849.32680787,464327.54307795,144850.787028277,544777.174113,1193217.166163,29631.51443,20018.87512,1079411.3066,345067.687932,1217782.77547,586316.963582,1670908.419,1261507.382432,1361933.622798,1808.22740019,433500.203863
"52",109569365.383896,61119960.2691868,219468175.974085,89998801.4516731,158911053.655313,489213992.496998,409455497.411873,488014768.126952,464225837.51321,72246325.1783713,175927093.997429,357727475.432913,8983091.5370678,255380897.091078,168804643.573966,100646263.976599,452269734.560356,148300860.327405,1496184593.22202,297048476.837701,935153617.913686,41427.4074907819,11889630.8498776
"53",2242893.15741257,979385.918555815,2757348.96880813,1657602.1356778,958360.746424562,5761205.21378738,1930134.87667506,8514819.67307221,2934714.77462168,1453370.10089582,6657421.40945,6394571.2136,184388.416,6863729.199,4825990.7906,3781877.77704,2930010.433,2959013.675,11061384.49,4367818.18302,4552066.9327,68794.626621,186571.24305
"54",18390259.1524127,12259439.2938346,23272365.2472036,6073095.66765436,6135212.69870995,23991269.736486,9078907.49684599,10597530.5097563,4110007.28230689,2209581.87656748,8196775.6449712,26729799.6218806,6276083.4651199,18327020.4140223,14496654.3458035,20338469.6795583,25379022.979258,7860953.714892,61431974.002155,23950043.3547478,30964365.12441,872847.7878263,2892766.5287487
"55",5035760.28251596,972829.119272993,6369368.75761728,1664103.13051941,2585691.1803411,8583756.21946652,2815319.33205638,9504653.50882071,3794565.4056788,2442217.46465772,3098925.867564,6550354.713705,423366.347363,10484515.548724,9262870.522216,7042739.798892,4007548.044473,3929834.382114,15357023.214075,4882271.524049,7575379.388378,109861.7715229,254984.684489
"56",862470.720434681,83083.6228348365,656784.423554543,306682.129777549,310764.386784161,1038724.54227351,352111.102431715,1501919.89636584,601870.516366308,263879.762812783,578696.337015,784226.316254,25765.480577,662993.649513,730160.297939,508182.6049279,417415.994734,369749.557692,2229520.121615,944700.626651,1095943.75067,13298.529917,38386.623231
"57",7443128.78055249,5301258.44367725,7434312.88732768,2476492.53967991,9791931.7421935,23510753.341405,10965041.9638443,20928323.5725992,9169241.51793552,3947308.03121236,7162424.8725259,18119726.43,408486.131,15612538.914,4767351.264,5987315.5874297,18027652.813,12819077.5,89546939.7,10890322.58777,10869689.111,195042.7202485,1108002.35533829
