,Agriculture,Fishing,Mining and Quarrying,Food & Beverages,Textiles and Wearing Apparel,Wood and Paper,"Petroleum, Chemical and Non-Metallic Mineral Products",Metal Products,Electrical and Machinery,Transport Equipment,Other Manufacturing,Recycling,"Electricity, Gas and Water",Construction,Maintenance and Repair,Wholesale Trade,Retail Trade,Hotels and Restraurants,Transport,Post and Telecommunications,Finacial Intermediation and Business Activities,Public Administration,"Education, Health and Other Services",Private Households,Others
TUR_Hotels and Restraurants,0.03180289469961422,0.0048970799969040016,0.0017669926221086803,0.01939560194749112,0.0012633061822352523,0.005719247326121608,0.012044241753132118,0.001600860462722851,0.0005652667533286156,0.0005200527616026998,0.002314841245577083,4.6142006497568684e-05,0.021895929733206018,0.00021445676123909075,0.0031340433532262594,0.017607059610786006,0.021385310029691972,0.0012328108328553222,0.016919595575426286,0.0027940987020617283,0.04959929083948652,9.057988468807906e-06,0.0001093305666987995,1.913200388751842e-06,2.3317819204266936e-05
TUR_Transport,0.00011223919637695897,3.155502423690929e-05,8.042736562766896e-05,0.000157193879200075,0.0014318986903573392,0.009144417419127693,0.04532703858035329,0.005234312534414695,0.013171396877660828,0.03530321437995004,0.0017408962420469064,3.269975824756963e-05,0.0009589653260868567,9.697915620466894e-05,0.026520657198523003,0.004811984945712584,0.0014848743113270197,0.021241357040750013,0.11907757780871993,0.0046067090948479295,0.046239794716662515,0.0002162070229040478,0.0005426236591257625,8.030241168965575e-06,5.2156523698944765e-05
TUR_Post and Telecommunications,5.9598933322395884e-05,0.00042125222348734034,0.0010494009217747236,0.00010377798177213911,0.00048355912390684447,0.006984452046629427,0.0028518314394484004,0.010311482906045718,0.0755230620517969,0.00028058346620803154,0.000198599323036888,7.990168116068726e-05,0.00938126608128394,0.00046872887600032985,0.0017683217946011004,0.01000391966260788,0.005959168950377639,0.0008705084343751835,0.012328550607444897,0.020358103089022514,0.11562119090769331,8.26077141877901e-05,0.002356192004893725,1.048124881971538e-05,2.7717302909423085e-05
TUR_Finacial Intermediation and Business Activities,0.0014623189304859535,0.0005015993654518609,0.0011224985627809926,0.0009807726000323532,0.0028901338433970146,0.013625802699421178,0.022608917233695573,0.0077181446163037916,0.005724966259658497,0.0008740535725950498,0.0006414411629911168,4.626086171677656e-05,0.0034708001667439993,0.001321131214815046,0.0025446524426370326,0.006028023824382186,0.0050192639229041875,0.0009137094224512428,0.006730302969988941,0.0032011878408709973,0.050654927142550016,0.0003947221359930272,0.0029116628580963186,7.2442786647335025e-06,0.00010619589999171243
TUR_Public Administration,0.0021814390688376056,0.00013677345480698683,0.0005927696173784554,0.0007642003339761563,0.001257362263042668,0.004773471869826148,0.008911933760135715,0.0005896883070476396,0.005267250085534166,0.005321226849293827,0.0002760341200872412,2.102046352839349e-05,0.01018913605145778,0.0012547786857383656,0.0024862362231292245,0.008866713738496509,0.0038445025750974363,0.0004357566891952106,0.011032926051608452,0.003032290520994781,0.040379423124812935,0.00016678757943518408,0.000512854967092616,7.37192905475761e-07,0.0008254402946858293
"TUR_Education, Health and Other Services",0.0014140161526887,0.0001711942519157967,0.0011304020562644033,0.000964474422085086,0.0010856759258569084,0.012363220028498566,0.023367664529978772,0.0018173847903092976,0.0037617827610352426,0.000816546108753172,0.0008218560004448061,2.6371036040315398e-05,0.0108875562488069,0.0005823898024258487,0.0035077987806464666,0.009799818206214577,0.00551971039709435,0.0017015505763517842,0.012663144845460314,0.004285602434884663,0.08747312263893356,0.001505415689001726,0.010096982072132114,5.239801331343097e-06,0.002180563950487792
TUR_Private Households,0.0004269751880144124,0.00032688721745439525,0.0004388628425462707,0.0005178953377394517,0.0003333085365876982,0.0005045932636121861,0.0006880210647890618,0.0004437829375859234,0.00044453121607898187,0.00027357264151632,0.00020658630263095326,0.00024593022855837047,0.0004047775451833869,0.0002932589182033612,0.00032845581326955057,0.00048678362351101714,0.00033568572288424477,0.00038656064754538253,0.0004283202724491773,0.000454576880709567,0.0006428211823758474,0.0004802132437299049,0.00046458538424192154,0.00011792478209158924,0.00032508920669103395
TUR_Others,0.0003534163948906478,0.0011683330287986847,0.004307840286222567,0.0004194445652145711,0.004422682761204056,0.0039049826419633067,0.020629445982425658,0.0008584833455541545,0.00262857550958519,0.0020000510664113964,0.009407885295260843,0.00016215094240670629,0.05844324168567261,9.568844876038387e-05,0.0021809086256883753,0.008880964151756808,0.005144416240780061,0.0004039000629107207,0.0058977286616335115,0.0034286378979237453,0.034653700634501475,9.236232851536462e-05,0.002218796864394052,2.156808890421515e-05,0.008960694326687285
GBR_Agriculture,0.0630034614364382,0.0003336338415068001,0.0006874070389312947,0.10153339354871281,0.0057681023676723975,0.018327238996563446,0.07895387555536927,0.0034726795495283206,0.005583046687856402,0.002552050110037871,0.0017515076148481986,0.00013956579955813034,0.012457809491824472,0.009653458937454258,0.03142271745516169,0.08104024701629811,0.010977094563865327,0.003390882609676586,0.005889250118762102,0.014033046134013186,0.09479295888946104,0.0016848354995496594,0.016600783171227294,3.1642770200174295e-05,0.0006147329313330874
GBR_Fishing,0.003971252325942509,0.08452827860172318,0.0009303884988838534,0.0850656947772601,0.013574774455907575,0.006423060150485533,0.1281758495642846,0.008262928085903416,0.01095329479138814,0.08888520759670608,0.0010891578567358102,0.0003336764894909128,0.035390471914664136,0.03578101176363918,0.0028234020250083136,0.04943317154529552,0.0024315013715035696,0.004204880050283675,0.030719219375545285,0.006985931888284491,0.06553326595935889,0.00076991230969072,0.019064761780737436,7.944425231231798e-05,0.012944957931329359
GBR_Mining and Quarrying,6.002858626494676e-05,0.015090193679722941,0.08383376759990682,0.0017623574363660036,0.0006754113793139144,0.002442328866321561,0.013350312298191865,0.02209116634280937,0.015367125954135153,0.016454233198237172,7.054427876312856e-05,2.8359186989561175e-05,0.012734113034031954,0.02466832462005747,0.0025962868396542473,0.01911027348682365,0.0018391908542795099,0.003476373549241228,0.03067940541783222,0.0056056828301407485,0.10258595512863468,0.0008675307727825875,0.003408303010926836,1.4829346842524951e-05,0.000502272352526139
GBR_Food & Beverages,0.14634263184579857,0.008204903260019294,0.006443451793851219,0.20830517313857208,0.0010183478990893854,0.027691091640561886,0.043926832201627124,0.013875623816687674,0.009173955351817836,0.0012180611440713086,0.0007106837092394851,0.00016759134418276093,0.011365224042723486,0.0028563272736528617,0.0020180006733620044,0.06025388135878606,0.003029382341134366,0.002959220029976461,0.024285277875721708,0.009673151536877015,0.10858814485169951,0.001395413392387306,0.007467391842415103,1.4392547687280067e-05,0.0002741028900800121
GBR_Textiles and Wearing Apparel,0.0003445109669822196,8.727084314401955e-05,0.0006103884168302727,0.04154187197454625,0.19326289141992564,0.015406236564642958,0.04909034783963587,0.0069897461707267945,0.00936566995791489,0.0016724931494074104,0.002345084176545595,0.0037270200664159116,0.012999815632649353,0.0017394609561117882,0.0018071391130335495,0.11393190993073635,0.0017110558678462818,0.0031627949413819668,0.018205926037621823,0.007744677331619992,0.0886919411057728,0.002637615767602168,0.007967587869477056,2.1799961688508784e-05,0.0004541324524763915
GBR_Wood and Paper,0.0028873853560995003,0.00021424258837949965,0.0011227315893172162,0.003999639880548023,0.012120533356068778,0.2349111933729279,0.03880471350028405,0.007852693628919691,0.011549642662950513,0.0015601997244348972,0.0011755095697058638,0.00012442256132997258,0.014459867857543747,0.002117700482463132,0.0017396339265836117,0.05235156543493925,0.0014483576099346865,0.0033047702784459324,0.025420772896652014,0.010676822064756024,0.12316293987725913,0.0020334795613642384,0.01854656674103784,8.620203453387818e-06,0.0004002847813374337
"GBR_Petroleum, Chemical and Non-Metallic Mineral Products",0.0030312553978216364,0.01498031855679409,0.10679591800756784,0.004344670041868155,0.00271438825752308,0.02445807358342196,0.18235986106309313,0.017111454699165373,0.012203788883971875,0.0013497609022859501,0.0011497647434195034,0.00018186302780132224,0.0203139092320063,0.0039226878098817496,0.002992423051894103,0.08722496897639062,0.0018598821745065058,0.003055120807576985,0.027315736049689815,0.011364893651120148,0.1293859517095625,0.002459379283574187,0.009227844890393489,1.1618688769487235e-05,0.0004498734690299935
GBR_Metal Products,4.483513334227836e-05,0.0019839709429666725,0.006896683360953595,0.002082339594260874,0.0003941186198931605,0.009759051918686439,0.04888059316917431,0.1982628046744076,0.025099937233454456,0.004575244436182222,0.01109149416090162,0.009182910638581683,0.02598495435279386,0.005743618170840734,0.0031697209566907397,0.1457918075885892,0.0023778715201461338,0.003710921442247056,0.021025517880240117,0.008667618662730522,0.08937800545223419,0.0028704359469670995,0.00629717834684643,1.4206956068493384e-05,0.000551336764523653
